id,consigna_etapa_2,categoria,tipo_prompt,tecnica_prompting,objetivo,prompt_base,variables,output_esperado,errores_a_evitar,criterio_aceptacion,archivo_origen
P011,"3. Aplicar tecnicas avanzadas","Avanzado","Persona","Persona Prompting","Dar consistencia al comportamiento del agente","Actua como asistente personal de organizacion, con criterio ejecutivo, sensibilidad personal y foco en proximas acciones.","[rol]; [contexto_usuario]","Respuesta alineada a una identidad estable","Cambiar personalidad segun tarea; sonar generico","El agente mantiene tono y criterio consistentes","prompts/core/system-prompt.md"
P012,"3. Aplicar tecnicas avanzadas","Avanzado","Flipped Interaction","Flipped Interaction","Hacer que el asistente pregunte lo minimo necesario antes de planificar","Antes de crear el plan, haceme hasta tres preguntas necesarias para evitar errores. Si podes avanzar con supuestos, hacelo y marcarlos.","[objetivo]; [contexto_faltante]","Preguntas breves o plan con supuestos explicitos","Interrogar demasiado; bloquearse por informacion menor","El agente pregunta solo lo que cambia la decision","manual-interaccion-asistente-personal.html"
P013,"3. Aplicar tecnicas avanzadas","Avanzado","Question Refinement","Question Refinement","Mejorar pedidos vagos del usuario","Reformula mi pedido en una version mas precisa, propone dos variantes y preguntame cual prefiero antes de ejecutar.","[pedido_original]; [resultado_deseado]","Pedido refinado, variantes y recomendacion","Ejecutar una solicitud ambigua; cambiar intencion del usuario","El usuario obtiene una consigna mas efectiva sin perder control","manual-interaccion-asistente-personal.html"
P014,"3. Aplicar tecnicas avanzadas","Avanzado","Few-shot operativo","Few-shot Prompting","Estandarizar formatos frecuentes","Usa estos ejemplos de tareas normalizadas y aplica el mismo formato a los nuevos pendientes.","[ejemplos]; [raw_tasks]","Tareas normalizadas con verbo, resultado, fecha, fuente y proximo paso","Copiar ejemplos sin adaptar; forzar formato a datos incompletos","Las tareas quedan consistentes y accionables","prompts/tasks/task-normalizer.md"
P015,"3. Aplicar tecnicas avanzadas","Avanzado","Critic/Revisor","Self-Review Prompting","Detectar errores antes de entregar una respuesta","Antes de responder, revisa si hay compromisos inventados, falta de fuente, accion sensible sin confirmacion o mezcla de dominios.","[draft_response]; [sources]","Respuesta final corregida con advertencias si aplica","Confiar en el primer borrador; ocultar incertidumbre","La salida final evita errores comunes de agente personal","evals/evaluation-rubric.md"
P016,"4. Evitar errores comunes","Calidad","Antipatron: vaguedad","Anti-pattern Check","Evitar prompts sin objetivo ni formato","Si el pedido es vago, propone una version mas clara con objetivo, contexto, formato y restricciones.","[pedido_vago]","Prompt refinado listo para usar","Responder genericamente; pedir demasiados detalles","El pedido queda ejecutable y medible","docs/agent-principles.md"
P017,"4. Evitar errores comunes","Calidad","Antipatron: sobreaccion","Consent Check","Evitar que el agente haga cambios no pedidos","Antes de cualquier accion en Gmail, Calendar o Drive, verifica si modifica datos, comunica a terceros o comparte informacion.","[proposed_action]","Clasificacion de riesgo y confirmacion si corresponde","Enviar, borrar, mover o compartir sin permiso","No se ejecuta ninguna accion sensible sin confirmacion","docs/tool-permissions.md"
P018,"4. Evitar errores comunes","Calidad","Antipatron: falta de trazabilidad","Source Grounding","Asegurar que cada tarea tenga origen","Para cada tarea o recomendacion, indica origen: Gmail, Calendar, Drive o instruccion directa del usuario.","[tasks]; [sources]","Tareas con fuente y evidencia breve","Crear tareas sin evidencia; mezclar inferencias con hechos","Cada item importante tiene fuente verificable","prompts/tasks/unified-inbox-to-tasks.md"
P019,"5. Manual de interaccion","Manual","Como pedir resumenes","Instruction Template","Ensenar al usuario a pedir buenos resumenes","Resumi [documento/correo/reunion] para [objetivo]. Quiero decisiones, tareas, fechas, riesgos y preguntas abiertas. Maximo [extension].","[fuente]; [objetivo]; [extension]","Resumen orientado a accion","Pedir 'resumi esto' sin decir para que","El resumen sirve para decidir o actuar","drive-package/manual-interaccion-asistente-personal.html"
P020,"5. Manual de interaccion","Manual","Como pedir planes","Planning Template","Ensenar al usuario a pedir planes utiles","Armame un plan para [objetivo] considerando [restricciones]. Separalo en hoy, esta semana y en espera. Inclui riesgos y primer paso.","[objetivo]; [restricciones]","Plan por horizonte temporal con riesgos y primer paso","Pedir planes demasiado amplios; no dar restricciones","El plan es realista y accionable","drive-package/manual-interaccion-asistente-personal.html"
P021,"5. Manual de interaccion","Manual","Como pedir ideas","Ideation Template","Generar ideas filtradas por contexto real","Proponeme [cantidad] ideas para [objetivo], considerando [contexto]. Clasificalas por impacto, esfuerzo y riesgo.","[cantidad]; [objetivo]; [contexto]","Ideas priorizadas con criterio","Pedir ideas sin criterio; aceptar cantidad sobre calidad","Las ideas vienen comparadas y priorizadas","drive-package/manual-interaccion-asistente-personal.html"
P022,"5. Manual de interaccion","Manual","Como pedir redaccion","Writing Template","Redactar documentos y mensajes sin comprometer de mas","Redacta un borrador de [tipo_documento/mensaje] para [destinatario], con tono [tono]. No confirmes datos no aprobados y marca placeholders.","[tipo]; [destinatario]; [tono]; [datos_aprobados]","Borrador listo para revisar con placeholders","Confirmar fechas o precios no aprobados; sonar generico","El borrador se puede revisar y enviar tras confirmacion","drive-package/manual-interaccion-asistente-personal.html"
